,product_review_index,product_index,category_index,review_date,review_rating,newline_count,review_len,special_char_count,manufacturer_count,product_count,review_score,c1
106312,11716,96199,86123,2021-06-07,5,27,223,44,0,1,98,8.690582959641256
106351,11721,71876,61422,2021-03-23,5,15,400,91,0,2,99,20.715
106472,11736,96199,86123,2020-08-28,5,19,311,37,2,3,99,4.443729903536977
106532,11743,96199,86123,2020-01-25,5,17,307,34,2,3,99,3.807817589576547
106567,11747,71876,61422,2021-06-09,5,28,527,30,0,0,99,1.71157495256167
106972,11792,71876,61422,2021-01-16,5,26,331,35,0,0,99,3.706948640483384
107021,11797,144234,140449,2019-03-13,5,10,166,64,0,0,97,24.686746987951807
107331,11832,71876,61422,2020-08-28,5,4,1156,35,0,2,99,1.0640138408304498
107996,11908,53324,42619,2021-06-17,5,27,657,31,10,6,99,1.669710806697108
108040,11913,53324,42619,2020-10-21,5,10,1017,0,28,11,99,0.8908554572271387
108049,11914,53324,42619,2019-07-22,5,133,1702,339,20,17,99,67.92596944770858
108075,11917,53324,42619,2019-03-26,5,46,707,48,0,1,99,3.2616690240452617
108084,11918,53324,42619,2018-10-31,5,60,941,65,8,2,99,4.562167906482466
108100,11920,53324,42619,2020-05-08,5,10,1039,0,34,13,99,1.2762271414821944
108126,11923,53324,42619,2021-02-14,5,50,927,42,6,2,99,1.9460625674217906
108179,11929,53324,42619,2021-02-05,5,22,355,37,2,1,99,3.870422535211268
108187,11930,53324,42619,2020-04-16,5,29,473,47,2,3,99,4.6976744186046515
108246,11936,139147,128219,2021-01-25,5,28,449,39,4,3,99,3.443207126948775
108250,11937,53324,42619,2019-11-02,5,21,376,47,6,3,99,5.99468085106383
108304,11943,53324,42619,2021-01-17,5,27,760,55,8,3,99,4.076315789473684
108340,11947,53324,42619,2021-02-13,5,36,1652,56,2,5,99,1.915859564164649
108777,11996,53324,42619,2017-04-09,5,20,393,29,8,0,99,2.3053435114503817
